backstreet_boys	backstreets_back	all_i_have_to_give	3	backstreet_boys/backstreets_back/03-all_i_have_to_give.mp3	RAA/backstreet_boys/backstreets_back/03_all_i_have_to_give.mp3	27711	16391
backstreet_boys	backstreets_back	if_you_want_it_to_be_good_girl_get_yourself_a_bad_boy	10	backstreet_boys/backstreets_back/10-if_you_want_it_to_be_good_girl_get_yourself_a_bad_boy.mp3	RAA/backstreet_boys/backstreets_back/10_if_you_want_it_to_be_good_girl_get_yourself_a_bad_boy.mp3	27717	16397
backstreet_boys	black_blue	get_another	3	backstreet_boys/black_blue/03-get_another.mp3	RAA/backstreet_boys/black__blue/03_get_another.mp3	27724	16404
backstreet_boys	black_blue	shining_star	4	backstreet_boys/black_blue/04-shining_star.mp3	RAA/backstreet_boys/black__blue/04_shining_star.mp3	27726	16406
backstreet_boys	black_blue	more_than_that	8	backstreet_boys/black_blue/08-more_than_that.mp3	RAA/backstreet_boys/black__blue/08_more_than_that.mp3	27725	16405
backstreet_boys	greatest_hits_chapter_one	i_wantiit_that_way	1	backstreet_boys/greatest_hits_chapter_one/01-i_wantiit_that_way.mp3	TERESA/backstreet_boys/greatest_hits_-_chapter_one/01_-_i_wantiit_that_way.mp3	23656	12336
backstreet_boys	greatest_hits_chapter_one	we_ve_got_it_goin_on	6	backstreet_boys/greatest_hits_chapter_one/06-we_ve_got_it_goin_on.mp3	TERESA/backstreet_boys/greatest_hits_-_chapter_one/06_-_we._ve_got_it_goin._on.mp3	23645	12325
backstreet_boys	greatest_hits_chapter_one	i_ll_never_break_your_heart	9	backstreet_boys/greatest_hits_chapter_one/09-i_ll_never_break_your_heart.mp3	TERESA/backstreet_boys/greatest_hits_-_chapter_one/09_-_i.ll_never_break_your_heart.mp3	23648	12328
backstreet_boys	greatest_hits_chapter_one	shape_of_my_heart	11	backstreet_boys/greatest_hits_chapter_one/11-shape_of_my_heart.mp3	TERESA/backstreet_boys/greatest_hits_-_chapter_one/11_-_shape_of_my_heart.mp3	23650	12330
backstreet_boys	millennium	i_want_it_that_way	2	backstreet_boys/millennium/02-i_want_it_that_way.mp3	RAA/backstreet_boys/millennium/02_i_want_it_that_way.mp3	27700	16380
beach_boys	sunflower_surf_up	got_to_know_the_woman	4	beach_boys/sunflower_surf_up/04-got_to_know_the_woman.mp3	users/jbonada/The_Beach_Boys/Sunflower_And_Surf_Up/04-got_to_know_the_woman.mp3	45469	34158
beach_boys	sunflower_surf_up	dont_go_near_the_water	13	beach_boys/sunflower_surf_up/13-dont_go_near_the_water.mp3	users/jbonada/The_Beach_Boys/Sunflower_And_Surf_Up/13-dont_go_near_the_water.mp3	45476	34165
beach_boys	sunflower_surf_up	disney_girls_1957	16	beach_boys/sunflower_surf_up/16-disney_girls_1957.mp3	users/jbonada/The_Beach_Boys/Sunflower_And_Surf_Up/16-disney_girls__1957_.mp3	45479	34168
beach_boys	surfin_safari_surfin_u_s_a	chug_a_lug	4	beach_boys/surfin_safari_surfin_u_s_a/04-chug_a_lug.mp3	users/jbonada/The_Beach_Boys-Surfin_Safari-Surfin_USA-Remastered-2001/04-the_beach_boys-chug-a-lug-ser.mp3	37337	26017
beach_boys	surfin_safari_surfin_u_s_a	little_girl_you_re_my_miss_ame	5	beach_boys/surfin_safari_surfin_u_s_a/05-little_girl_you_re_my_miss_ame.mp3	users/jbonada/The_Beach_Boys-Surfin_Safari-Surfin_USA-Remastered-2001/05-the_beach_boys-little_girl_youre_my_miss_america-ser.mp3	37338	26018
beach_boys	surfin_safari_surfin_u_s_a	surfin_u_s_a	13	beach_boys/surfin_safari_surfin_u_s_a/13-surfin_u_s_a.mp3	users/jbonada/The_Beach_Boys-Surfin_Safari-Surfin_USA-Remastered-2001/13-the_beach_boys-surfin_usa-ser.mp3	37345	26025
